,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone
0,0,3,male,-0.6445007503426788,1,0,-0.7512650407623164,S,Third,man,True,Southampton,no,False
2,1,3,female,-0.24559910943801097,0,0,-0.7002649893973995,S,Third,woman,False,Southampton,yes,True
3,1,1,female,0.6519295825974918,1,0,2.712960670469438,S,First,woman,False,Southampton,yes,False
4,0,3,male,0.6519295825974918,0,0,-0.6908205354409335,S,Third,man,True,Southampton,no,True
5,0,3,male,0.12329691538978338,0,0,-0.6599711710375328,Q,Third,man,True,Queenstown,no,True
6,0,1,male,2.5467123768946642,0,0,2.619460576300424,S,First,man,True,Southampton,no,True
8,1,3,female,-0.145873699211844,0,2,-0.4578598563691588,S,Third,woman,False,Southampton,yes,False
9,1,2,female,-1.4423040321520146,1,0,0.9729749180354507,C,Second,child,False,Cherbourg,yes,False
10,1,3,female,-2.4395581344136845,1,1,-0.03726432165348151,S,Third,child,False,Southampton,yes,False
12,0,3,male,-0.8439515707950128,0,0,-0.6908205354409335,S,Third,man,True,Southampton,no,True
13,0,3,male,1.0508312235021597,1,5,1.063959009670462,S,Third,man,True,Southampton,no,False
14,0,3,female,-1.4423040321520146,0,0,-0.705614328118342,S,Third,child,False,Southampton,no,True
17,1,2,male,0.12329691538978338,0,0,-0.3168201587648771,S,Second,man,True,Southampton,yes,True
18,0,3,female,0.2530279416928239,1,0,0.06095799949376567,S,Third,woman,False,Southampton,no,False
19,1,3,female,0.12329691538978338,0,0,-0.7531539315536095,C,Third,woman,False,Cherbourg,yes,True
20,0,2,male,0.6519295825974918,0,0,0.6654030527075941,S,Second,man,True,Southampton,no,True
21,1,2,male,0.5522041723713248,0,0,-0.3168201587648771,S,Second,man,True,Southampton,yes,True
22,1,3,female,-1.3425786219258478,0,0,-0.6923920925792895,Q,Third,child,False,Queenstown,yes,True
23,1,1,male,-0.046148288985677036,0,0,1.3831815533990155,S,First,man,True,Southampton,yes,True
24,0,3,female,-2.0406564935090166,3,1,0.2932915668228309,S,Third,child,False,Southampton,no,False
25,1,3,female,0.9511058132759926,1,5,1.0724590182312816,S,Third,woman,False,Southampton,yes,False
26,0,3,male,0.12329691538978338,0,0,-0.7531539315536095,C,Third,man,True,Cherbourg,no,True
28,1,3,female,0.12329691538978338,0,0,-0.7037254373270486,Q,Third,woman,False,Queenstown,yes,True
29,0,3,male,0.12329691538978338,0,0,-0.7024712138416299,S,Third,man,True,Southampton,no,True
30,0,1,male,1.1505566337283266,0,0,0.7954191836538886,C,First,man,True,Cherbourg,no,True
32,1,3,female,0.12329691538978338,0,0,-0.713487224936452,Q,Third,woman,False,Queenstown,yes,True
35,0,1,male,1.3500074541806606,1,0,2.6298494756525366,S,First,man,True,Southampton,no,False
36,1,3,male,0.12329691538978338,0,0,-0.7528365979006724,C,Third,man,True,Cherbourg,yes,True
37,0,3,male,-0.7442261605688458,0,0,-0.6908205354409335,S,Third,man,True,Southampton,no,True
38,0,3,female,-1.0434023912473467,2,0,0.06095799949376567,S,Third,woman,False,Southampton,no,False
39,1,3,female,-1.4423040321520146,1,0,-0.44966962589811144,C,Third,child,False,Cherbourg,yes,False
40,0,3,female,1.1505566337283266,1,0,-0.5831537603372203,S,Third,woman,False,Southampton,no,False
41,0,2,female,-0.145873699211844,1,0,0.28762489444895134,S,Second,woman,False,Southampton,no,False
42,0,3,male,0.12329691538978338,0,0,-0.7024712138416299,C,Third,man,True,Cherbourg,no,True
43,1,2,female,-2.539283544639851,1,2,1.8424993493362036,C,Second,child,False,Cherbourg,yes,False
44,1,3,female,-0.9436769810211798,0,0,-0.7037254373270486,Q,Third,woman,False,Queenstown,yes,True
45,0,3,male,0.12329691538978338,0,0,-0.6908205354409335,S,Third,man,True,Southampton,no,True
46,0,3,male,0.12329691538978338,1,0,-0.12793107963555572,Q,Third,man,True,Queenstown,no,False
47,1,3,female,0.12329691538978338,0,0,-0.713487224936452,Q,Third,woman,False,Queenstown,yes,True
48,0,3,male,0.12329691538978338,2,0,0.3389422794668055,C,Third,man,True,Cherbourg,no,False
49,0,3,female,-1.0434023912473467,1,0,0.04584687316342002,S,Third,woman,False,Southampton,no,False
50,0,3,male,-2.1403819037351832,4,1,1.6995707609406288,S,Third,child,False,Southampton,no,False
51,0,3,male,-0.7442261605688458,0,0,-0.7097094433538655,S,Third,man,True,Southampton,no,True
53,1,2,female,0.05357712124048994,1,0,0.6654030527075941,S,Second,woman,False,Southampton,yes,False
55,1,1,male,0.12329691538978338,0,0,1.3831815533990155,S,First,man,True,Southampton,yes,True
56,1,2,female,-0.7442261605688458,0,0,-0.5057092378941985,S,Second,woman,False,Southampton,yes,True
57,0,3,male,0.0037144161274064503,0,0,-0.7528365979006724,C,Third,man,True,Cherbourg,no,True
58,1,2,female,-2.3398327241875174,1,2,0.7976254080981191,S,Second,child,False,Southampton,yes,False
59,0,3,male,-1.7414802628305155,5,2,2.244515754228721,S,Third,child,False,Southampton,no,False
60,0,3,male,-0.6445007503426788,0,0,-0.7528365979006724,C,Third,man,True,Cherbourg,no,True
63,0,3,male,-2.4395581344136845,3,2,0.8089587528458783,S,Third,child,False,Southampton,no,False
64,0,1,male,0.12329691538978338,0,0,0.7954191836538886,C,First,man,True,Cherbourg,no,True
65,1,3,male,0.12329691538978338,1,1,-0.1471373212014252,C,Third,man,True,Cherbourg,yes,False
66,1,2,female,0.05357712124048994,0,0,-0.5057092378941985,S,Second,woman,False,Southampton,yes,True
67,0,3,male,-0.9436769810211798,0,0,-0.6826378605330512,S,Third,man,True,Southampton,no,True
68,1,3,female,-1.1431278014735138,4,2,-0.7002649893973995,S,Third,woman,False,Southampton,yes,False
69,0,3,male,-0.24559910943801097,2,0,-0.6445427110542498,S,Third,man,True,Southampton,no,False
70,0,2,male,0.3527533519189909,0,0,-0.5057092378941985,S,Second,man,True,Southampton,no,True
